Lemma,Number,Case,Form,Current Status,Proposed Status,Action
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Dative,г꙯и,,etymological,SET
господь,Singular,Dative,господи,,etymological,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Nominative,гь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Dative,го꙯у,,analogical,SET
пѫть,Singular,Instrumental,пѫть҆мъ,,etymological,SET
звѣрь,Plural,Nominative,ꙁвѣриѥ,,etymological,SET
звѣрь,Singular,Genitive,ꙁвѣри,,etymological,SET
звѣрь,Singular,Genitive,ꙁвѣри,,etymological,SET
пѫть,Singular,Genitive,пѫти,,etymological,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
огнь,Singular,Instrumental,о҅гн҄емъ,,,UNMATCHED
людиѥ,Plural,Instrumental,людь҆ми,,etymological,SET
людиѥ,Plural,Accusative,люди,,etymological,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Locative,г꙯и,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
чрьвь,Singular,Nominative,чрь҆вь҆,,ambiguous,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
пѫть,Singular,Instrumental,пѫтемь҆,,,UNMATCHED
господь,Singular,Genitive,г꙯и,,etymological,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Locative,г꙯и,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
господь,Singular,Instrumental,гм꙯ь,,,UNMATCHED
звѣрь,Singular,Genitive,ꙁвѣрѣ,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
звѣрь,Plural,Instrumental,ꙁвѣрьми,,etymological,SET
звѣрь,Plural,Genitive,ꙁвѣрии҆,,etymological,SET
звѣрь,Plural,Instrumental,ꙁвѣрь҆ми,,etymological,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Genitive,о҅гн҄ѣ,,analogical,SET
огнь,Singular,Genitive,о҅гнꙗ,,analogical,SET
огнь,Singular,Genitive,о҅гнꙗ,,analogical,SET
людиѥ,Plural,Accusative,люди,,etymological,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
огнь,Singular,Genitive,о҅гнꙗ,,analogical,SET
звѣрь,Plural,Dative,ꙁвѣрь҆мъ,,etymological,SET
пѫть,Singular,Instrumental,пѫтемь҆,,,UNMATCHED
дѣтищь,Singular,Nominative,дѣтиштъ,,,UNMATCHED
огнь,Singular,Nominative,о҅гнъ,,,UNMATCHED
господь,Singular,Genitive,г꙯а,,analogical,SET
пѫть,Singular,Instrumental,пѫтемъ,,,UNMATCHED
пѫть,Singular,Genitive,пѫти,,etymological,SET
пѫть,Singular,Genitive,пѫти,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
звѣрь,Plural,Dative,ꙁвѣрь҆мъ,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
людиѥ,Plural,Accusative,люди,,etymological,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
людиѥ,Plural,Instrumental,людь҆ми,,etymological,SET
людиѥ,Plural,Genitive,людии҆,,etymological,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Dative,гв꙯и,,etymological,SET
гостиньць,Singular,Dative,гостинь҆цоу,,analogical,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
людиѥ,Plural,Nominative,людь҆ѥ,,etymological,SET
огнь,Singular,Genitive,о҅гнꙗ,,analogical,SET
ѫгль,Plural,Genitive,ѫ҅глии҆,,etymological,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Dative,г꙯оу,,analogical,SET
господь,Singular,Dative,гв꙯и,,etymological,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
пѫть,Singular,Nominative,пѫть҆,,ambiguous,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
пѫть,Singular,Instrumental,пѫть҆мь҆,,etymological,SET
звѣрь,Plural,Genitive,ꙁвѣрии,,etymological,SET
пѫть,Singular,Genitive,пѫти,,etymological,SET
пѫть,Singular,Dative,пѫти,,etymological,SET
пѫть,Singular,Instrumental,пѫть҆мь҆,,etymological,SET
пѫть,Singular,Genitive,пѫти,,etymological,SET
пѫть,Singular,Accusative,пѫть,,ambiguous,SET
звѣрь,Singular,Genitive,ꙁвѣри,,etymological,SET
пѫть,Singular,Instrumental,пѫтьмь,,etymological,SET
звѣрь,Singular,Nominative,ꙁвѣрꙿ,,,UNMATCHED
пѫть,Singular,Locative,пѫти,,ambiguous,SET
звѣрь,Singular,Nominative,ꙁвѣрь҆,,ambiguous,SET
звѣрь,Singular,Nominative,ꙁвѣрь,,ambiguous,SET
звѣрь,Plural,Genitive,ꙁвѣрии҆,,etymological,SET
пѫть,Singular,Genitive,пѫти,,etymological,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
огнь,Singular,Locative,о҅гн҄и,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
огнь,Singular,Locative,о҅гн҄и,,ambiguous,SET
господь,Singular,Dative,господоу,,analogical,SET
