Lemma,Number,Case,Form,Current Status,Proposed Status,Action
господь,Singular,Accusative,господь,,ambiguous,SET
грътань,Singular,Accusative,грьтань҆,,ambiguous,SET
грътань,Singular,Accusative,грьтань҆,,ambiguous,SET
звѣрь,Singular,Accusative,ꙁвѣрь҆,,ambiguous,SET
зѧть,Singular,Accusative,ꙁꙙть,,ambiguous,SET
огнь,Singular,Accusative,огн҄ь,,ambiguous,SET
огнь,Singular,Accusative,огн҄ь,,ambiguous,SET
огнь,Singular,Accusative,огн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
пѫть,Singular,Accusative,пѫть,,ambiguous,SET
пѫть,Singular,Accusative,пѫть,,ambiguous,SET
пѫть,Singular,Accusative,пѫть,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
пѫть,Singular,Accusative,пѫть҆,,ambiguous,SET
господь,Singular,Accusative,господꙿ,,ambiguous,UNMATCHED
господь,Singular,Genitive,господи,,etymological,SET
господь,Singular,Genitive,господи,,etymological,SET
господь,Singular,Genitive,господи,,etymological,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
господь,Singular,Genitive,г꙯и,,etymological,SET
звѣрь,Singular,Genitive,ꙁвѣри,,etymological,SET
звѣрь,Singular,Genitive,ꙁвѣри,,etymological,SET
звѣрь,Singular,Genitive,ꙁвѣри,,etymological,SET
зѧть,Singular,Genitive,ꙁꙙти,,etymological,SET
огнь,Singular,Genitive,о҅гн҄и,,etymological,SET
огнь,Singular,Genitive,о҅гн҄и,,etymological,SET
огнь,Singular,Genitive,о҅гн҄и,,etymological,SET
пѫть,Singular,Genitive,пѫти,,etymological,SET
пѫть,Singular,Genitive,пѫти,,etymological,SET
пѫть,Singular,Genitive,пѫти,,etymological,SET
пѫть,Singular,Genitive,пѫти,,etymological,SET
пѫть,Singular,Genitive,пѫти,,etymological,SET
пѫть,Singular,Genitive,пѫти,,etymological,SET
пѫть,Singular,Genitive,пѫти,,etymological,SET
пѫть,Singular,Genitive,пѫти,,etymological,SET
тать,Singular,Genitive,тати,,etymological,SET
господь,Singular,Genitive,га꙯,,analogical,SET
господь,Singular,Genitive,гопода,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,господа,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
господь,Singular,Genitive,г꙯а,,analogical,SET
звѣрь,Singular,Genitive,ꙁвѣрѣ,,analogical,SET
звѣрь,Singular,Genitive,ꙁвѣрѣ,,analogical,SET
звѣрь,Singular,Genitive,ꙁвѣрѣ,,analogical,SET
огнь,Singular,Genitive,о҅гʼнꙗ,,analogical,SET
огнь,Singular,Genitive,о҅гнѣ,,analogical,SET
огнь,Singular,Genitive,о҅гн҄ѣ,,analogical,SET
огнь,Singular,Genitive,о҅гн҄ѣ,,analogical,SET
огнь,Singular,Genitive,о҅гн҄ѣ,,analogical,SET
огнь,Singular,Genitive,о҅гн҄ѣ,,analogical,SET
огнь,Singular,Genitive,о҅гн҄ѣ,,analogical,SET
огнь,Singular,Genitive,о҅гн҄ѣ,,analogical,SET
огнь,Singular,Genitive,о҅гн҄ѣ,,analogical,SET
огнь,Singular,Genitive,о҅гн҄ѣ,,analogical,SET
огнь,Singular,Genitive,о҅гнꙗ,,analogical,SET
огнь,Singular,Genitive,о҅гнꙗ,,analogical,SET
огнь,Singular,Genitive,о҅гнꙗ,,analogical,SET
огнь,Singular,Genitive,о҅гнꙗ,,analogical,SET
огнь,Singular,Genitive,о҆гʼн҄ѣ,,analogical,SET
господь,Singular,Dative,гв꙯и,,etymological,SET
господь,Singular,Dative,гв꙯и,,etymological,SET
господь,Singular,Dative,гв꙯и,,etymological,SET
господь,Singular,Dative,господи,,etymological,SET
господь,Singular,Dative,г꙯и,,etymological,SET
господь,Singular,Dative,г꙯и,,etymological,SET
господь,Singular,Dative,г꙯и,,etymological,SET
зѧть,Singular,Dative,ꙁꙙти,,etymological,SET
пѫть,Singular,Dative,пѫти,,etymological,SET
пѫть,Singular,Dative,пѫти,,etymological,SET
пѫть,Singular,Dative,пѫти,,etymological,SET
пѫть,Singular,Dative,пѫти,,etymological,SET
чрьвь,Singular,Dative,чрьви,,etymological,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Dative,господеви,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,господоу,,analogical,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Dative,г꙯оу,,analogical,SET
господь,Singular,Dative,г꙯оу,,analogical,SET
господь,Singular,Dative,г꙯оу,,analogical,SET
гостиньць,Singular,Dative,гостинь҆цоу,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Dative,о҅гн҄оу,,analogical,SET
огнь,Singular,Dative,о҅гнꙋ,,analogical,SET
господь,Singular,Instrumental,господьмь҆,,etymological,SET
огнь,Singular,Instrumental,о҅гн҄ьмъ,,etymological,SET
пѫть,Singular,Instrumental,пѫтьмъ,,etymological,SET
пѫть,Singular,Instrumental,пѫтьмь,,etymological,SET
пѫть,Singular,Instrumental,пѫтьмь,,etymological,SET
пѫть,Singular,Instrumental,пѫтьмь҆,,etymological,SET
пѫть,Singular,Instrumental,пѫть҆мъ,,etymological,SET
пѫть,Singular,Instrumental,пѫть҆мъ,,etymological,SET
пѫть,Singular,Instrumental,пѫть҆мь,,etymological,SET
пѫть,Singular,Instrumental,пѫть҆мь҆,,etymological,SET
пѫть,Singular,Instrumental,пѫть҆мь҆,,etymological,SET
пѫть,Singular,Instrumental,пѫть҆мь҆,,etymological,SET
голѫбь,Singular,Instrumental,голѫбемъ,,ambiguos,UNMATCHED
господь,Singular,Instrumental,гм꙯ь,,ambiguos,UNMATCHED
,,,,,ambiguos,
огнь,Singular,Instrumental,огн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,огн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,огн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емъ,,ambiguos,UNMATCHED
огнь,Singular,Instrumental,о҅гн҄емь҆,,ambiguos,UNMATCHED
пѫть,Singular,Instrumental,пѫтемъ,,ambiguos,UNMATCHED
пѫть,Singular,Instrumental,пѫтемъ,,ambiguos,UNMATCHED
пѫть,Singular,Instrumental,пѫтемъ,,ambiguos,UNMATCHED
пѫть,Singular,Instrumental,пѫтемь,,ambiguos,UNMATCHED
пѫть,Singular,Instrumental,пѫтемь҆,,ambiguos,UNMATCHED
пѫть,Singular,Instrumental,пѫтемь҆,,ambiguos,UNMATCHED
пѫть,Singular,Instrumental,пѫтемь҆,,ambiguos,UNMATCHED
,,,,,,
господь,Singular,Locative,господи,,ambiguous,SET
господь,Singular,Locative,господи,,ambiguous,SET
господь,Singular,Locative,господи,,ambiguous,SET
господь,Singular,Locative,г꙯и,,ambiguous,SET
господь,Singular,Locative,г꙯и,,ambiguous,SET
господь,Singular,Locative,г꙯и,,ambiguous,SET
господь,Singular,Locative,г꙯и,,ambiguous,SET
господь,Singular,Locative,г꙯и,,ambiguous,SET
господь,Singular,Locative,г꙯и,,ambiguous,SET
господь,Singular,Locative,г꙯꙯꙯и,,ambiguous,SET
грътань,Singular,Locative,грътани,,ambiguous,SET
огнь,Singular,Locative,огн҄и,,ambiguous,SET
огнь,Singular,Locative,о҅гн҄и,,ambiguous,SET
огнь,Singular,Locative,о҅гн҄и,,ambiguous,SET
огнь,Singular,Locative,о҅гн҄и,,ambiguous,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
пѫть,Singular,Locative,пѫти,,ambiguous,SET
господь,Singular,Locative,господі,,ambiguous,UNMATCHED
господь,Singular,Vocative,Ги꙯,,etymological,SET
господь,Singular,Vocative,г͞и,,etymological,SET
господь,Singular,Vocative,ги,,etymological,SET
господь,Singular,Vocative,ги꙯,,etymological,SET
господь,Singular,Vocative,ги꙯,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
господь,Singular,Vocative,господи,,etymological,SET
